"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Leveraging ICTs for Effective COVID-19 Pandemics Management: Insights from a Health Information System Implementation in Cyprus","M. N. Anastasiadou; P. Isaia; P. Kolios; D. G. Eliades; C. Laoudias","Department of Electrical and Computer Engineering, KIOS Research and Innovation Center of Excellence, University of Cyprus; Department of Electrical and Computer Engineering, KIOS Research and Innovation Center of Excellence, University of Cyprus; Department of Computer Science, KIOS Research and Innovation Center of Excellence, University of Cyprus; Department of Electrical and Computer Engineering, KIOS Research and Innovation Center of Excellence, University of Cyprus; Department of Electrical and Computer Engineering, KIOS Research and Innovation Center of Excellence, University of Cyprus","2024 IEEE 24th International Symposium on Cluster, Cloud and Internet Computing Workshops (CCGridW)","11 Oct 2024","2024","","","84","91","The COVID-19 pandemic has imposed significant challenges on public health authorities, requiring them to handle a large influx of patients while also managing the vast amount of health information data generated by the crisis. Governments worldwide have made substantial investments in upgrading existing health information systems or developing new ones to effectively address these challenges. In this paper, we present the Health Information System (HIS) implemented in Cyprus for the management of the pandemic. We provide an overview of the systems and platforms that form the foundation of the HIS, enabling its functionalities. Additionally, we present statistical data reflecting the daily operations of the HIS, aligning with the evolution of the pandemic and the various interventions undertaken by local health authorities. Through this work, we aim to share our experiences and insights, serving as a valuable reference for other countries and states seeking to establish robust information systems for managing pandemics.","","979-8-3503-7751-4","10.1109/CCGridW63211.2024.00016","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10707466","Health Information System (HIS);COVID-19 pandemic;Emergency management;Decentralized systems","COVID-19;Pandemics;Government;Machine learning;Market research;Vaccines;Public healthcare;Monitoring;Information systems;Investment","","","","18","IEEE","11 Oct 2024","","","IEEE","IEEE Conferences"
"Towards a Person-centred Maternal and Child Health Information System Framework for Sustained African Health Security using Kenya as an ICT4D Case","L. D. Morris; D. R. Nyatuka; O. O. Ogundaini; R. de La Harpe; F. Siva; D. K. Murugu","School of Mechanical Engineering, University of Leeds; School of Computing and Engineering Sciences (SCES), Strathmore University; UNISA Graduate School of Business Leadership (SBL); Faculty of Business Management Sciences, Cape Peninsula University of Technology (CPUT); School of Computing and Engineering Sciences (SCES), Strathmore University; Jomo Kenyatta University of Technology (JKUAT)",2023 IST-Africa Conference (IST-Africa),"25 Jul 2023","2023","","","1","12","Understanding the health information needs for maternal and child health resilience in the African context is limited, which affects interpretations of person-centred care towards sustained health security, particularly during and post-COVID-19 pandemic. This paper focuses on person-centred maternal and child health information needs to advance strong theoretical expertise in Information and Communications Technologies (ICT) for Development (ICT4D). This will foster development of ICT-enabled health information systems (HIS) and social protection delivery systems for improved health care delivery in Kenya. The aim of this pilot study is to propose a person-centred maternal and child health social design pathway for sustained African health security with Kenya as an ICT4D case, leveraging the expertise of a team of Global South and Global North ICT4D researchers, scholars, and practitioners. Co-design methodology and critical participatory action research were used to achieve the research objectives. We propose a Social Design Pathway for paternal and maternal communities in Kenya, which provides a tool for Kenya’s ICT4D for health care agenda to assess and validate the extent to which health information delivers person-centred needs.","2576-8581","978-1-905824-71-7","10.23919/IST-Africa60249.2023.10187841","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10187841","Maternal and child;Health information;ICT4D;Technology enabled solutions;person-centred design;Social Design Pathway;COVID-19 pandemic","COVID-19;Pediatrics;Pandemics;Medical services;Africa;Information and communication technology;Security","","","","50","","25 Jul 2023","","","IEEE","IEEE Conferences"
"E-Government Interoperability: Provincial-Level Architecture Model to Enable Fast Healthcare Interoperability Resources (FHIR)","D. Wijayanti; S. Urbaya; T. Sitompul; V. Adrian","Department of Information Systems, BINUS Graduate Program, Bina Nusantara University, Jakarta, Indonesia; Country Health Information Systems and Data Use (CHISU) Program, USAID Indonesia, Jakarta, Indonesia; Country Health Information Systems and Data Use (CHISU) Program, USAID Indonesia, Jakarta, Indonesia; Center of Data and Information Technology, Jakarta Provincial Health Office, Jakarta, Indonesia",2024 International Conference on Information Management and Technology (ICIMTech),"16 Dec 2024","2024","","","811","816","The process of using ICT to provide services to the public is known as the Indonesian e-Government system, or Sistem Pemerintahan Berbasis Elektronik (SPBE). The e-Government initiative in Jakarta Provincial Health Office involves enhancing collaboration among public health entities for efficient data exchange and streamlined processes, especially between the Provincial and District Health Offices, public hospitals, government clinics, and primary health care centers (Puskesmas). Achieving interoperability requires standardized protocols and a well-defined architectural model to integrate data seamlessly. This study presents a provincial-level architectural model focused on improving electronic health records interoperability, aiming to promote the adoption of the national Fast Healthcare Interoperability Resources (FHIR) health information exchange platform and enhance the integrity of health data in Jakarta. The study methodology involves conducting literature reviews, observations, and discussions with representatives from healthcare facilities to develop the e-Government architecture model and prototype of the infrastructure layer aiming to facilitate the interoperability of Electronic Health Records (EHRs) across 93 healthcare facilities, all of which are part of the SPBE users.","2837-2778","979-8-3503-9002-5","10.1109/ICIMTech63123.2024.10780873","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10780873","e-Government;interoperability;fast healthcare interoperability resources;SATUSEHAT","Prototypes;Medical services;Data models;Security;Public healthcare;Electronic medical records;Interoperability;Information exchange;Standards;Electronic government","","","","18","IEEE","16 Dec 2024","","","IEEE","IEEE Conferences"
"Experimental Possibilities of Decentralized Health Information System Interoperability Using Blockchain Technology","J. Manoharan; A. H. Ali; M. M. Aljohani; A. Soni; G. V; S. Upadhyay","Saveetha School of Law, Saveetha Institute of Medical and Technical Sciences, Chennai; Department of Prosthetics and Orthotics, College of Medical Rehabilitation Sciences, Taibah University, Madinah; Department of Physical Therapy, College of Medical Rehabilitation Sciences, Madinah, Saudi Arabia; CSE Department, IES University, Bhopal; Velalar College of Engineering and Technology, Erode; Department of ECE, MLR Institute of Technology, Hyderabad, India",2024 International Conference on Sustainable Communication Networks and Application (ICSCNA),"10 Feb 2025","2024","","","432","438","In the modern healthcare, the need for efficient, secure, and interoperable health information systems is paramount. This study proposes a novel Ethereum-based decentralized health information system designed to enhance data integration, security, and interoperability across various healthcare institutions. The proposed model leverages blockchain technology, specifically Ethereum, to create a distributed and immutable ledger that ensures the integrity and confidentiality of patient data. Through rigorous testing and comparison with nine existing models, the proposed system demonstrated superior performance in key areas, including accuracy, transaction throughput, latency, and data integrity. The proposed model achieved an average accuracy of 89.63%, outperforming traditional centralized systems and other blockchain-based models. Additionally, the model exhibited lower latency and higher transaction throughput, making it highly efficient in real-time data processing scenarios. The implementation of smart contracts further strengthened data privacy by automating access control and consent management, ensuring that only authorized entities could access sensitive health information. The results indicate that the proposed Ethereum-based model offers a robust and scalable solution for the challenges associated with decentralized health information systems, paving the way for more secure and efficient healthcare data management.","","979-8-3315-3001-3","10.1109/ICSCNA63714.2024.10863833","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10863833","Ethereum;Blockchain;Decentralized Health Information System;Interoperability;Smart Contracts;Healthcare Data Security","Accuracy;Smart contracts;Medical services;Throughput;Data models;Real-time systems;Blockchains;Interoperability;Information systems;Testing","","","","15","IEEE","10 Feb 2025","","","IEEE","IEEE Conferences"
"Decentralized Personal Cloud Data Model and its Application in Campus Health Information System","X. Weng; H. Wu; Y. Pan; H. Chen","Department of Information and Electronics System Engineering, Daiichi Institute of Technology, Tokyo, Japan; Department of Information and Electronics System Engineering, Daiichi Institute of Technology, Tokyo, Japan; Department of Information and Electronics System Engineering, Daiichi Institute of Technology, Tokyo, Japan; Department of Information and Electronics System Engineering, Daiichi Institute of Technology, Tokyo, Japan","2021 IEEE Intl Conf on Dependable, Autonomic and Secure Computing, Intl Conf on Pervasive Intelligence and Computing, Intl Conf on Cloud and Big Data Computing, Intl Conf on Cyber Science and Technology Congress (DASC/PiCom/CBDCom/CyberSciTech)","15 Mar 2022","2021","","","879","883","While the digital information age has brought us convenience in recent years. It has also brought many security risks. The centralized data storage poses the risk of data leakage. With the breakout of the Novel Coronavirus, it is common for schools to import the health management tools such as the body temperature monitoring system. If these health data are integrated together, it can facilitate school authorities to track students' health status, but centralized management has the risk of widespread data leakage. We propose a decentralized, personal cloud data model. The history of a student's health data will be stored only in each student's personal online datastore managed by Edu Pod, which is a student health information data management application that provides various services and mechanisms to secure the personal data in the Pod. By decentralizing the data to the students' individual Pods, it prevents the occurrence of large-scale data leaks by centralized management. We apply this model to the Campus Health Information System (CHIS) which we are studying in. The student's temperature data collected by face recognition will eventually be stored only in his or her personal Pod, which is a portable educational information storage unit, and the student can share the data with the university and any third-party health management software. The application of a centralized personal cloud data model can help students' personal data not be limited to a centralized server farm and can control their personal data more freely. It can also avoid information leakage and help to protect personal privacy at the same time.","","978-1-6654-2174-4","10.1109/DASC-PICom-CBDCom-CyberSciTech52372.2021.00146","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9730502","Decentralization;Personal online datastore;Decentralized authorization;Data transfer;IoT","Temperature sensors;Temperature measurement;Temperature distribution;Clouds;Learning (artificial intelligence);Big Data;Data models","","4","","14","IEEE","15 Mar 2022","","","IEEE","IEEE Conferences"
"System Architecture for Reading and Interpreting Physical Printouts of Medical Forms","E. Snegireva; G. R. Khazankin; I. Mikheenko","Stream Data Analytics and Machine Learning laboratory, Novosibirsk State University, Novosibirsk, Russia; Novosibirsk State University, Novosibirsk, Russia; Meshalkin National Medical Research Center, Novosibirsk, Russia",2021 IEEE 22nd International Conference of Young Professionals in Electron Devices and Materials (EDM),"16 Aug 2021","2021","","","547","550","This article describes the developed architecture of the system module for processing and interpreting analog medical data. Patients often undergo examinations in various medical institutions, and since their results are often handed out to the patient in printed form, the receiving institution transfers them to its database manually. There is also a tendency to completely refuse analog media and use only digital ones. But in this case, another problem appears - either loss or conversion of the accumulated analog base into digital format. These days, automatic document management systems for medical institutions - Health information systems (HIS) - are actively developing. The software module developed in accordance with the architecture described in the article can be used by developers of various HIS to automate the work with analog data. If it is necessary, it can also be freely expanded by adding new modules for working with various analog data. In this article, we take ECG scans and medical test results as examples of such data. As a result of the work undertaken the prototype of the designed system was developed and tested.","2325-419X","978-1-6654-1498-2","10.1109/EDM52169.2021.9507594","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9507594","hospital information system;HIS;analog data;interpretation;software architecture","Waste materials;Databases;Prototypes;Systems architecture;Computer architecture;Electrocardiography;Medical tests","","","","12","IEEE","16 Aug 2021","","","IEEE","IEEE Conferences"
"A Novel Distributed Software Architecture for Managing Customer Behavior Data: A Case Study in Banking Sector","Ö. B. Kargılı; A. Okan Arık; M. Bekler; O. Uygar Köse; M. S. Aktaş","R&D Department, GTech, Istanbul, Turkey; Management Information Systems, Yeditepe University, Istanbul, Turkey; R&D Department, GTech, Istanbul, Turkey; R&D Department, GTech, Istanbul, Turkey; Computer Engineering, Yildiz Technical University, Istanbul, Turkey",2021 21st International Conference on Computational Science and Its Applications (ICCSA),"16 Mar 2022","2021","","","211","217","We propose a Lambda-based, distributed, big data analysis architecture explicitly designed for the banking sector within the scope of this study. The proposed architecture is designed to extract useful information from user behavior data. The results derived from user behavior data obtained from many sources aim to increase the performance and efficiency of digital banking applications. The prototype implementation of the proposed architecture is designed, developed, and implemented. Performance and scalability tests were carried out on the prototype application. The results obtained reveal the usability of the proposed architecture in the banking sector.","","978-1-6654-5843-6","10.1109/ICCSA54496.2021.00037","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9732367","Distributed Big Data Systems;Software Architectures;Lambda Architecture;Big Data Processing;Banking Sector","Software architecture;Scientific computing;Scalability;Prototypes;Distributed databases;Computer architecture;Banking","","1","","30","IEEE","16 Mar 2022","","","IEEE","IEEE Conferences"
"Architecture Migration From Monolithic to Microservices: Developing Readiness Criteria","P. I. Habib; A. S. Murdha; H. Agus; Suhardi","School of Electrical Engineering and Informatics, Bandung Institute of Technology (ITB), Bandung, Indonesia; School of Electrical Engineering and Informatics, Bandung Institute of Technology (ITB), Bandung, Indonesia; School of Electrical Engineering and Informatics, Bandung Institute of Technology (ITB), Bandung, Indonesia; School of Electrical Engineering and Informatics, Bandung Institute of Technology (ITB), Bandung, Indonesia",IEEE Access,"27 Dec 2024","2024","12","","194630","194645","Through the implementation of microservices architecture, organizations aim to speed up digital transformation in their digital services. Nevertheless, the architectural migration process is not without its obstacles. Organizations must face multiple impediments during the process. One of the factors contributing to the issues that arise during the migration process is the organization’s inclination to follow trends and its limited understanding of microservices. This study aims to develop a set of readiness criteria that could serve as the basis for readiness evaluation. We analyze the proposed criteria using the Technology-Organizational-Environment (TOE) and Human-Organization-Technology-fit (HOT-Fit) framework. We also conducted an interview study using the Delphi method with ten experts to refine the proposed criteria. The participating experts are experienced in executing architectural migrations. The following criteria are quantified using the Analytic Network Process (ANP), a method within Multi-Criteria Decision Making (MCDM). We conducted a case study on the government’s back-office application to evaluate the result of the built-in criteria. The findings indicate that organizational, human, environmental, and technological variables significantly impact the readiness level in migration decision-making. In the organizational context, leadership commitment is the most crucial criterion. While in the human context, the programmer’s ability is critical. In the context of the environment, user satisfaction is vital. In the technological context, the quality of information and security are paramount. Furthermore, we provided an overview of future research opportunities and addressed the constraints of our research after the article.","2169-3536","","10.1109/ACCESS.2024.3504848","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10763474","Readiness criteria;system architecture;microservices architecture;monolithic architecture;analytical network process;delphi method","Microservice architectures;Computer architecture;Organizations;Decision making;Behavioral sciences;Technological innovation;Planning;Information technology;Software development management;Software architecture","","","","50","CCBY","22 Nov 2024","","","IEEE","IEEE Journals"
"Unified National Digital Framework for Exchange and Storage of Medical Image Information","I. E. Ivanov; B. Ivanov","Faculty of Automatics, Technical University of Sofia 8 Kliment Ohridski blvd., Sofia, Bulgaria; Faculty of Automatics, Technical University of Sofia 8 Kliment Ohridski blvd., Sofia, Bulgaria",2022 10th International Scientific Conference on Computer Science (COMSCI),"11 Oct 2022","2022","","","1","7","The shift from local hospital processing and data collection to unified national-level presentation and access is one of the most challenging IT and medical tasks today. The National Scientific Programme “e-Health in Bulgaria” is designing a brand new infoway for medical images storage, access, exchange and use. This new design and the requirements it lays on are presented in this work.","","978-1-6654-9777-0","10.1109/COMSCI55378.2022.9912601","Health; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9912601","digital framework;distributed storage;medical image;PACS;patient-driven approach","Computer science;Hospitals;Data collection;Image storage;Task analysis;Biomedical imaging","","","","12","IEEE","11 Oct 2022","","","IEEE","IEEE Conferences"
"Domestic Intranet Cloud Design for Connecting District Health Information Systems for Capacity Development of Healthcare in Developing Countries","N. S. Qureshi; D. Midhun Chakkaravarthy; N. Jamal","Lincoln University College Malaysia, Petaling Jaya, Malaysia; Lincoln University College Malaysia, Petaling Jaya, Malaysia; Lincoln University College Malaysia, Petaling Jaya, Malaysia",2024 1st International Conference on Innovative Engineering Sciences and Technological Research (ICIESTR),"19 Dec 2024","2024","","","1","6","The capacity development for healthcare (CDH) requires strengthening and diversification of national health information systems (HIS). It will facilitate achieving the United Nation’s (UN) sustainable development goal-3 (SDG-3). This paper presents the design for a distributed communication services programming interface (DCSPI) that is intended for use at district level for forming an intranet of HIS with the feature for patient scheduling and management in addition to other features including collaboration between health professionals. In the first phase of this research, the DCSPI individual components are designed as a real-time system using Finite State Machines (FSMs) and formal testing for distributed reactive system is performed. The refinements are done in the design as per testing results. In next phase, after formal testing the DCSPI will be programmed and deployed for testing at district level in Pakistan for CDH. The outcome of this research will be useful primarily for developing countries for capacity development and enhancement in healthcare. Also, it will contribute to achieving targets of UN’s SDG-3 globally.","","979-8-3503-4863-7","10.1109/ICIESTR60916.2024.10798252","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10798252","Capacity Development for Health;National Health Information System;Distributed Communication Services Programming Interface","Medical services;Developing countries;Real-time systems;Planning;Stakeholders;Resource management;Sustainable development;Programming profession;Testing;Information systems","","","","26","IEEE","19 Dec 2024","","","IEEE","IEEE Conferences"
