"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Document Type","Publication Stage","Open Access","Source","EID"
"","","","9th International Conference on Digital Economy, ICDEc 2024","2025","Lecture Notes in Business Information Processing","531 LNBIP","","","","","750","0","","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85211317241&partnerID=40&md5=eea9f90b30de68b0a2279849b2390e1f","The proceedings contain 43 papers. The special focus in this conference is on Digital Economy. The topics include: A Sentiment Analysis Approach for Hotels Rating; application of Blockchain in Human Resources Management; predicting Turnover Tendency of Candidates/Employees Based on Personality Assessment Tests: A Data-Driven Approach; ‘Why Embrace Augmented Reality Beauty Filters?’: Delving into Young Women’s Motivations; marketplace Platforms: Towards a New Taxonomy; comparative Analysis of Clinical Terminology Servers: A Quest for an Improved Solution; a Payment Architecture for Decentralized Data Spaces Based on Gaia-X; modelling a Patient Identifier System in the Estonian National Health Information System; ICT and the Digital Divide: Analyzing ICT Indicators in Morocco Using PCA; technological Digitalization Model for Medium-Sized Pig Farms in Mexico; analysis of the Relationship Between Innovation, Digitalization and Economic Growth in North African Countries; unveiling the Dynamics: Global Innovation Index and Digital Technologies Corporate Sophistication in Emerging Country Institutions; evaluating the Role of Mobile Money in Alleviating Liquidity Deficit in Morocco; diagnosing Mobile Banking Applications to Optimize User Experience and Engagement Method, Features and Recommendations; the Impact of Internet Banking Adoption on the Financial Performance of the Banking Industry: Evidence from Morocco; Examining the Impact of Bitcoin Price Volatility on Stock Markets: A Comparative Analysis Between ARDL and NARDL Approaches; when the Artificial Revolutionizes the Reality: Focus on This New Trend of Virtual Influencers; search Engine Gender Bias: Cross Cultural Analysis; delving into the Dark Side of Artificial Intelligence in Green Marketing.","Conference review","Final","","Scopus","2-s2.0-85211317241"
"Deckro J.; Phillips T.; Davis A.; Hehr A.T.; Ochylski S.","Deckro, John (6508023318); Phillips, Toni (56066510400); Davis, Avaretta (57205314362); Hehr, Andrew T. (57222317978); Ochylski, Sheila (55318697300)","6508023318; 56066510400; 57205314362; 57222317978; 55318697300","Big Data in the Veterans Health Administration: A Nursing Informatics Perspective","2021","Journal of Nursing Scholarship","53","3","","288","295","7","29","10.1111/jnu.12631","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85102285790&doi=10.1111%2fjnu.12631&partnerID=40&md5=8e9cd3a9d8708eb74e09b2d116c9bd3e","Purpose: This article reviews the missions of the U.S. Department of Veterans Affairs (VA) and the evolution of its electronic health record (EHR), the Veterans Health Information Systems and Technology Architecture (VistA). This system, along with its clinical graphical user interface the Computerized Patient Record System, form a key link in VA health care. A Veteran who receives healthcare through the VA can have their EHR accessed by clinicians at any VA healthcare facility across the United States and its territories. Data aggregated daily at a corporate data warehouse supports VA quality improvement and research. Organizing Construct: Serving over 9 million Veterans, the VA is one of the largest integrated healthcare systems in the United States. It has been a leader in the development and use of healthcare informatics, EHR, and big data analytics for over 30 years. Nurses engaged in major roles in the evolution of these developments. Conclusions: With over 500 nurses as members, the Office of Nursing Informatics’ Field Alliance demonstrates the VA’s continuing commitment to fostering nursing informatics. The commitment includes investment by the VA to develop nursing informaticists from among its own staff. Clinical Relevance: Exemplars of the impact of nursing informatics are shared. Future directions include an EHR that begins during military service and follows the Veteran into VA health care. © 2021 Sigma Theta Tau International","Article","Final","","Scopus","2-s2.0-85102285790"
"Shukla M.; Lin J.; Seneviratne O.","Shukla, Manan (57343038500); Lin, Jianjing (57225221603); Seneviratne, Oshani (36697042800)","57343038500; 57225221603; 36697042800","BlockIoT-RETEL: Blockchain and IoT Based Read-Execute-Transact-Erase-Loop Environment for Integrating Personal Health Data","2021","Proceedings - 2021 IEEE International Conference on Blockchain, Blockchain 2021","","","","237","243","6","7","10.1109/Blockchain53845.2021.00039","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85125649120&doi=10.1109%2fBlockchain53845.2021.00039&partnerID=40&md5=c35a3bee7bc4539527e917e9e73f40fd","The development and adoption of Electronic Health Records and health monitoring Internet of Things (IoT) devices have enabled the digitization of patient records. They have also substantially transformed the healthcare delivery system in remote patient monitoring, healthcare decision-making, and medical research. However, data tends to be fragmented among health information systems, preventing interoperability of medical data at the point of care. In order to address this gap, we propose and implement a novel architecture that utilizes blockchain and IoT technologies for integrating personal health data. The architecture comprises of two components: (1) BlockIoT contains a suite of smart contracts that define data collection and integration functionalities, and (2) RETEL utilizes a novel smart contract deployment and execution architecture. The BlockIoT-RETEL architecture combines these two components to provide a scalable mechanism for bootstrapping a personal health data collection infrastructure in the context of healthcare. We have compared the key functionalities of our system with existing comparable state-of-the-art systems in healthcare and evaluated the performance in prototypical healthcare settings with simulated data that shows promising results. © 2021 IEEE.","Conference paper","Final","","Scopus","2-s2.0-85125649120"
"Tan A.L.; Feliciano E.J.G.; Habaluyas K.E.R.; Bolong N.P.; Wong J.Q.","Tan, Abigail Lim (58135809700); Feliciano, Erin Jay G. (58700203700); Habaluyas, Katrina Erika Rocha (58972549500); Bolong, Nina Patricia (58971911200); Wong, John Q. (56491997300)","58135809700; 58700203700; 58972549500; 58971911200; 56491997300","Processes of Creating a National Cancer Registry System in the Philippines","2024","Electronic Journal of Information Systems in Developing Countries","90","5","e12324","","","","1","10.1002/isd2.12324","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85189501820&doi=10.1002%2fisd2.12324&partnerID=40&md5=10d657c9ab40cb749bcb9123b337515f","As a new entrant in the Philippine Cancer Health Information Network, the Philippine Cancer Center (PCC) was pushed to establish the National Cancer Registry as mandated by the National Integrated Cancer Control Act (NICCA). The researchers used a rapid review and rapid realist review approaches which made use of evidence from literature and data from 43 key informant interviews and FGDs to create the National Cancer Registry Development Plan. The results were summarized using a cancer data process flow diagram, context-view system architecture model, and logic models detailing the roadmap plans for the next 10 years. The study was able to show how the development of a national cancer registry plan that seeks to unite existing population-based cancer registries (PBCRs) and hospital-based cancer registries (HBCRs) is only possible through extensive collaboration and effective stakeholder engagement. Using an evidence-based approach with expert knowledge and validation, the Philippine National Cancer Registry Development Plan was created, an example of an e-health policy making process from which other developing countries can learn from. © 2024 John Wiley & Sons Ltd.","Article","Final","","Scopus","2-s2.0-85189501820"
"Lazarova E.; Mora S.; Rubartelli P.; Vitale A.C.; Pareto L.; Maggi N.; Ruggiero C.; Giacomini M.","Lazarova, Elena (57209202738); Mora, Sara (57209199653); Rubartelli, Paolo (59809881400); Vitale, Alessandro Cosolito (57289263500); Pareto, Luisa (57224206988); Maggi, Norbert (36724971000); Ruggiero, Carmelina (35561242000); Giacomini, Mauro (55208666200)","57209202738; 57209199653; 59809881400; 57289263500; 57224206988; 36724971000; 35561242000; 55208666200","Integrating an electronic health record system into a regional health information system: An HL7 FHIR architecture","2021","Public Health and Informatics: Proceedings of MIE 2021","","","","1087","1088","1","2","10.3233/SHTI210357","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85107238143&doi=10.3233%2fSHTI210357&partnerID=40&md5=96779d58a5bd8e15db05725f1cbc2237","This paper presents an architecture which has been developed in order to integrate a routinely used cardiologic EHR system into the health information infrastructure system of the region where the EHR is used. A Service Oriented Approach based on HL7 and FHIR was used, achieving interoperability, security and confidentiality at all levels. The system has been used for about a year and has brought about significant improvements in the provision of care. © 2021 European Federation for Medical Informatics (EFMI) and IOS Press. © 2021 European Federation for Medical Informatics (EFMI) and IOS Press. All rights reserved.","Book chapter","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85107238143"
"Lima Í.; Araújo A.; Souza R.; Couto H.; Times V.","Lima, Ítalo (57211187943); Araújo, Andr  (8317904500); Souza, Rychard (57217015488); Couto, Henrique (57211192048); Times, Valéria (8659107600)","57211187943; 8317904500; 57217015488; 57211192048; 8659107600","A service-based software architecture for enabling the electronic health record storage using Blockchain","2021","International Journal of Computer Applications in Technology","65","3","","222","234","12","3","10.1504/IJCAT.2021.11601","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85109746581&doi=10.1504%2fIJCAT.2021.11601&partnerID=40&md5=eeda38fc1916d9869dc1a658568828ea","The healthcare sector requires computational solutions with reliable authenticity features for the storage and retrieval of electronic health record data. To address this important issue, this article proposes a service-based software architecture to extract data from different legacy databases, standardise the patient's clinical data requirements and store data using different Blockchain technologies. To achieve this, a software architecture has been designed to guarantee the independence of data storage technology. In addition, a data meta-schema and a set of mapping rules have been specified to store and organise clinical data following an international health standard. To validate the solution presented, the real world scenario of a Brazilian healthcare institution has been used to evaluate the data extraction, standardisation and storage capabilities in two Blockchain platforms widely used in the information technology market  Copyright 2021 Inderscience Enterprises Ltd.","Article","Final","","Scopus","2-s2.0-85109746581"
"Rinty M.R.; Prodhan U.K.; Rahman M.M.","Rinty, Mahnuma Rahman (57236523600); Prodhan, Uzzal Kumar (57189212075); Rahman, Md. Mijanur (57207730841)","57236523600; 57189212075; 57207730841","A prospective interoperable distributed e-Health system with loose coupling in improving healthcare services for developing countries","2022","Array","13","","100114","","","","11","10.1016/j.array.2021.100114","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85151700216&doi=10.1016%2fj.array.2021.100114&partnerID=40&md5=06f41470fdcb38b95cbcb07d09b5060f","A loosely coupled distributed system enables interoperability in healthcare structures and can be used to create flexible architecture. The key limitation in adopting electronic health (e-Health) services in developing countries is the health data interoperability problem. Most developing countries are being confronted with the utilization of e-Health systems for their health care services. This study aims to develop a prospective e-Health system for developing countries to improve the effectiveness of health care services. This paper presents an enhanced e-Health framework using distributed memory and heterogeneous data handling mechanisms with loose coupling. The distributed e-Health has been designed using e-Health standards that are compatible with health level 7 (HL7) and can facilitate interoperability among health information systems. The Message Passing Interface (MPI) has been implemented to store regular backups of heterogeneous health data. The HL7 standards can also handle security threats. Data interchange from one e-Health system server to another has been conducted based on the experimental results. The distributed database has been made accessible from a remote server by using loosely coupled technology. It also provided the e-Health data recovery features and handled an extensive database through a distributed environment. According to the study, the developed system can deliver a low-cost service to the intended developing-country community effectively. © 2021 The Author(s)","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85151700216"
"Khripun A.V.; Ilyukhin A.P.; Kuzminov A.N.; Voronina A.V.; Sorokina O.G.","Khripun, Alexey V. (57204014895); Ilyukhin, Alexey P. (58139839200); Kuzminov, Alexander N. (57207888618); Voronina, Alexandra V. (57224212964); Sorokina, Oksana G. (57224219711)","57204014895; 58139839200; 57207888618; 57224212964; 57224219711","Conceptual Model of a Regional Center for Cenological Monitoring of Factors Affecting the Development of Cardiovascular Diseases","2023","Smart Innovation, Systems and Technologies","625","","","397","408","11","0","10.1007/978-981-19-7411-3_43","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85149909614&doi=10.1007%2f978-981-19-7411-3_43&partnerID=40&md5=568190262be91e890fa6517f71e89757","The scientific problem discussed in this research is the limitations of existing methods for identifying and interpreting factors recognized in scientific practice, which are newly identified through the use of advanced information technologies that provide a deeper understanding of the nature of the considered phenomena. One of the manifestations of this scientific problem is the need to consider critical non-medical factors, including socio-economic, natural, and ecological conditions. This understanding arises due to the development of technologies for the treatment and diagnosis of socially significant diseases in the development of treatment and rehabilitation programs. An important obstacle to solving this scientific problem is that the necessary requirement of natural science research—reproducibility of experimental results—cannot be fully met due to the uniqueness of these systems. The second key obstacle is associated with the complexity of the current socio-economic systems, which does not allow for their full formal description. This is evidenced by the result of a review of current approaches. The solution is proposed by integrating interdisciplinary approaches based on the patterns of fuzzy-multiple and cenological modeling, which have shown their effectiveness in various fields of knowledge. The authors propose a scheme of the operational center for monitoring the dynamics of parameters influencing the development of cardiovascular diseases in the region, based on the VSMA architecture and specialized models. © 2023, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.","Book chapter","Final","","Scopus","2-s2.0-85149909614"
"Indrasary Y.; Nugraha D.; Prihatmanto A.S.; Sarief I.; Gunawan R.; Yunautama D.","Indrasary, Yoenie (58920514800); Nugraha, Daniel (56372453400); Prihatmanto, Ary Setijadi (8057050300); Sarief, Ivany (57215423444); Gunawan, Rudy (57215410260); Yunautama, Dhema (58821547300)","58920514800; 56372453400; 8057050300; 57215423444; 57215410260; 58821547300","Analysis on Performance of Semi-Real-Time Transcription on Health App","2024","Proceeding of 2024 18th International Conference on Telecommunication Systems, Services, and Applications, TSSA 2024","","","","","","","0","10.1109/TSSA63730.2024.10863842","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-105000202553&doi=10.1109%2fTSSA63730.2024.10863842&partnerID=40&md5=93f74b93f1826b1945c8b64bccf38bd2","The fragmentation of health information systems has hindered seamless data exchange in healthcare services, posing challenges in achieving efficient, real-time access to patient health data. This study addresses these issues by evaluating the implementation of a semi-real-time transcription system using a distributed architecture with a message broker to enhance the documentation of clinical examination processes in primary health services. The research focuses on assessing the feasibility of this approach by measuring key performance indicators such as latency and word error rate (WER) during clinical conversation transcription. Audio recordings were segmented into shorter fragments to simulate real-time transcription, and data transmission was conducted through the Advanced Message Queuing Protocol (AMQP). The findings demonstrate that the average latencys achieved by semi-real-time transcription system is 7.7s, indicating its potential suitability for clinical documentation applications that do not require strict real-time processing. However, glitches observed in the message broker's forwarding mechanism suggest the need for further optimization to ensure consistent performance. Future work aims to develop strategies to minimize transcription errors, enhance reliability, and improve the overall integration of this system in healthcare settings. This study contributes to the advancement of health information systems by offering architecture into scalable and effective methods for semi-real-time data transcription and interoperability.  © 2024 IEEE.","Conference paper","Final","","Scopus","2-s2.0-105000202553"
"Denhere P.T.; Ruhode E.; Zhou M.","Denhere, Prosper Tafadzwa (58486688300); Ruhode, Ephias (55337873500); Zhou, Munyaradzi (56562183900)","58486688300; 55337873500; 56562183900","A TOGAF based interoperable health information system needs assessment for practitioner–patient interaction","2023","Electronic Journal of Information Systems in Developing Countries","89","6","e12284","","","","1","10.1002/isd2.12284","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85164742128&doi=10.1002%2fisd2.12284&partnerID=40&md5=b73ee39abdbfa02fb0ad2906ad2b94ab","eHealth systems have been created in most developing countries to facilitate the functioning of healthcare operations and as such various healthcare applications are existing as fragmented silo systems. Such autonomous standalone systems do not communicate through a network thereby making it a challenge to share healthcare data. Therefore, to re-engineer health information systems (HISs) to develop interoperable adaptive enterprise architecture (EA) systems for healthcare, the study aimed to discover and capture healthcare interoperability functional imperatives through understanding the expectations of healthcare practitioners and patients on post-development of an interoperable HIS. Therefore, the study's aim was to determine the HISs interoperability perceived functional expectations by both patients and practitioners in fulfilling their healthcare receipt and provision needs in an integrated healthcare environment, respectively. The Open Group Architecture Framework (TOGAF) was used as the main study framework to guide the classification of the expectations from the HIS by patients and practitioners deriving the needs from the four domains which are, business architecture (BA), application architecture (AA), data architecture (DA), and technical architecture. The study used interviews and questionnaire surveys to collect qualitative and quantitative data respectively. The study used purposive sampling to select interview participants. A total of 19 interviews were conducted with healthcare practitioners. Questionnaires were collected from 71 healthcare practitioners and 143 patients and analyzed quantitatively respectively to understand the most significant needs anticipated in an interoperable HIS. The research targeted age groups of at least 20 years and above. The study discovered that patients and practitioners expect the interoperable healthcare environment to support the acquisition of disease knowledge through healthcare surveillance synergies; create healthcare awareness through coordinated digital interactions; augmentation of healthcare intelligence for patient-care through the healthcare knowledgebase; allow treatment collaboration by various healthcare practitioners in the healthcare ecosystem and mostly achieving a guaranteed healthcare system security and assurance environment. © 2023 John Wiley & Sons Ltd.","Article","Final","","Scopus","2-s2.0-85164742128"
